Country;name;Admin1;SubDiv;Year;Updates
4010;Austria;;;1961;
4010;Austria;;;1962;
4010;Austria;;;1963;
4010;Austria;;;1964;
4010;Austria;;;1965;
4010;Austria;;;1966;
4010;Austria;;;1967;
4010;Austria;;;1968;
4010;Austria;;;1969;
4010;Austria;;;1970;
4010;Austria;;;1971;
4010;Austria;;;1972;
4010;Austria;;;1973;
4010;Austria;;;1974;
4010;Austria;;;1975;
4010;Austria;;;1976;
4010;Austria;;;1977;
4010;Austria;;;1978;
4010;Austria;;;1979;
4010;Austria;;;1980;
4010;Austria;;;1981;
4010;Austria;;;1982;
4010;Austria;;;1983;
4010;Austria;;;1984;
4010;Austria;;;1985;
4010;Austria;;;1986;
4010;Austria;;;1987;
4010;Austria;;;1988;
4010;Austria;;;1989;
4010;Austria;;;1990;
4010;Austria;;;1991;
4010;Austria;;;1992;
4010;Austria;;;1993;
4010;Austria;;;1994;
4010;Austria;;;1995;
4010;Austria;;;1996;
4010;Austria;;;1997;
4010;Austria;;;1998;
4010;Austria;;;1999;
4010;Austria;;;2000;
4010;Austria;;;2001;
4010;Austria;;;2002;
4010;Austria;;;2003;
4010;Austria;;;2004;
4010;Austria;;;2005;
4010;Austria;;;2006;
4010;Austria;;;2007;
4010;Austria;;;2008;
4010;Austria;;;2009;
4010;Austria;;;2010;
4010;Austria;;;2011;
4010;Austria;;;2012;
4010;Austria;;;2013;
4010;Austria;;;2014;
4010;Austria;;;2015;
4010;Austria;;;2016;
4010;Austria;;;2017;
4010;Austria;;;2018;
4010;Austria;;;2019;
4010;Austria;;;2020;
4010;Austria;;;2021;new
4012;Azerbaijan;;;1981;
4012;Azerbaijan;;;1982;
4012;Azerbaijan;;;1983;
4012;Azerbaijan;;;1985;
4012;Azerbaijan;;;1986;
4012;Azerbaijan;;;1987;
4012;Azerbaijan;;;1988;
4012;Azerbaijan;;;1989;
4012;Azerbaijan;;;1990;
4012;Azerbaijan;;;1991;
4012;Azerbaijan;;;1992;
4012;Azerbaijan;;;1993;
4012;Azerbaijan;;;1994;
4012;Azerbaijan;;;1995;
4012;Azerbaijan;;;1996;
4012;Azerbaijan;;;1997;
4012;Azerbaijan;;;1998;
4012;Azerbaijan;;;1999;
4012;Azerbaijan;;;2000;
4012;Azerbaijan;;;2001;
4012;Azerbaijan;;;2002;
4012;Azerbaijan;;;2003;
4012;Azerbaijan;;;2004;
4012;Azerbaijan;;;2005;
4012;Azerbaijan;;;2007;
2030;Bahamas;;;1960;
2030;Bahamas;;;1961;
2030;Bahamas;;;1962;
2030;Bahamas;;;1963;
2030;Bahamas;;;1964;
2030;Bahamas;;;1965;
2030;Bahamas;;;1966;
2030;Bahamas;;;1967;
2030;Bahamas;;;1968;
2030;Bahamas;;;1969;
2030;Bahamas;;;1970;
2030;Bahamas;;;1971;
2030;Bahamas;;;1972;
2030;Bahamas;;;1973;
2030;Bahamas;;;1974;
2030;Bahamas;;;1975;
2030;Bahamas;;;1976;
2030;Bahamas;;;1977;
2030;Bahamas;;;1978;
2030;Bahamas;;;1979;
2030;Bahamas;;;1980;
2030;Bahamas;;;1981;
2030;Bahamas;;;1982;
2030;Bahamas;;;1983;
2030;Bahamas;;;1984;
2030;Bahamas;;;1985;
2030;Bahamas;;;1986;
2030;Bahamas;;;1987;
2030;Bahamas;;;1993;
2030;Bahamas;;;1994;
2030;Bahamas;;;1995;
2030;Bahamas;;;2015;
3020;Bahrain;;;1985;
3020;Bahrain;;;1987;
3020;Bahrain;;;1988;
3020;Bahrain;;;2002;
3020;Bahrain;;;2003;
3020;Bahrain;;;2004;
3020;Bahrain;;;2005;
3020;Bahrain;;;2006;
3020;Bahrain;;;2007;
3020;Bahrain;;;2008;
3020;Bahrain;;;2009;
3020;Bahrain;;;2010;
3020;Bahrain;;;2011;
3020;Bahrain;;;2014;
2040;Barbados;;;1955;
2040;Barbados;;;1956;
2040;Barbados;;;1957;
2040;Barbados;;;1958;
2040;Barbados;;;1959;
2040;Barbados;;;1960;
2040;Barbados;;;1961;
2040;Barbados;;;1962;
